state,x,y
Andhra Pradesh,-53,-129
Arunachal Pradesh,191,111
Assam,156,64
Bihar,46,55
Chhattisgarh,-11,-19
Goa,-135,-112
Gujarat,-169,13
Haryana,-93,107
Himachal Pradesh,-75,156
Jammu - Kashmir,-91,204
Jharkhand,40,16
Karnataka,-109,-132
Kerala,-101,-202
Madhya Pradesh,-71,14
Maharashtra,-110,-53
Manipur,175,43
Meghalaya,129,53
Mizoram,160,12
Nagaland,186,71
Orissa,31,-36
Punjab,-105,138
Rajasthan,-136,68
Sikkim,88,91
Tamil Nadu,-63,-194
Telangana,-52,-76
Tripura,139,23
Uttar Pradesh,-30,76
Uttarakhand,-48,126
West Bengal,82,9
